Order,SKU,Member,Delivery Date,Name
8358896,15668375,SSCEHNS,02/11/13,Root Vegetables
8358896,15668467,SSCEHNS,02/11/13,Beans
8358896,15669863,SSCEHNS,02/11/13,Moong Dal
8358896,15669778,SSCEHNS,02/11/13,Other Dals
8358896,15669767,SSCEHNS,02/11/13,Urad Dal
8358896,15669832,SSCEHNS,02/11/13,Sugar
8358896,15669772,SSCEHNS,02/11/13,Other Dals
8358896,15669970,SSCEHNS,02/11/13,Cashews
8382662,15668375,SSCEHNS,17/11/13,Root Vegetables
8382662,15668478,SSCEHNS,17/11/13,Banana
8382662,15668467,SSCEHNS,17/11/13,Beans
8382662,15669861,SSCEHNS,17/11/13,Raw Peanuts
8382662,15669863,SSCEHNS,17/11/13,Moong Dal
8382662,15669778,SSCEHNS,17/11/13,Other Dals
8382662,15669878,SSCEHNS,17/11/13,Toor Dal
8382662,15669767,SSCEHNS,17/11/13,Urad Dal
8382662,15669772,SSCEHNS,17/11/13,Other Dals
8382662,15669865,SSCEHNS,17/11/13,Other Dals
8382662,7580802,SSCEHNS,17/11/13,Sunflower Oils
8292286,15668375,SSCEHNS,08/12/13,Root Vegetables
8292286,7586308,SSCEHNS,08/12/13,Chips
8292286,15668478,SSCEHNS,08/12/13,Banana
8292286,15668467,SSCEHNS,08/12/13,Beans
8292286,15669832,SSCEHNS,08/12/13,Sugar
8292286,15668521,SSCEHNS,08/12/13,Bread
8292286,15669781,SSCEHNS,08/12/13,Rice Flour
8292286,7580823,SSCEHNS,08/12/13,Sunflower Oils
8292286,7586502,SSCEHNS,08/12/13,Chips
8292286,15669970,SSCEHNS,08/12/13,Cashews
8265240,15668467,SSCEHNS,30/12/13,Beans
8265240,15668377,SSCEHNS,30/12/13,Root Vegetables
8265240,15669869,SSCEHNS,30/12/13,Moong Dal
8265240,15669767,SSCEHNS,30/12/13,Urad Dal
8265240,15669880,SSCEHNS,30/12/13,Sooji & Rava
8265240,7580823,SSCEHNS,30/12/13,Sunflower Oils
8265240,15669879,SSCEHNS,30/12/13,Other Dals
8265240,21409002,SSCEHNS,30/12/13,Moong Dal
8265240,34992815,SSCEHNS,30/12/13,Cookies
8224775,15668375,SSCEHNS,12/01/14,Root Vegetables
8224775,15669861,SSCEHNS,12/01/14,Raw Peanuts
8224775,7574242,SSCEHNS,12/01/14,Vermicelli
8224775,15668416,SSCEHNS,12/01/14,Banana
8224775,15669772,SSCEHNS,12/01/14,Other Dals
8224775,7580823,SSCEHNS,12/01/14,Sunflower Oils
8224775,15669865,SSCEHNS,12/01/14,Other Dals
8224775,15669815,SSCEHNS,12/01/14,Jaggery
8224775,15669970,SSCEHNS,12/01/14,Cashews
8224775,21408952,SSCEHNS,12/01/14,Whole Spices
8252107,15668467,SSCEHNS,26/01/14,Beans
8252107,15668377,SSCEHNS,26/01/14,Root Vegetables
8252107,15669821,SSCEHNS,26/01/14,Whole Spices
8252107,15669832,SSCEHNS,26/01/14,Sugar
8252107,15669859,SSCEHNS,26/01/14,Toor Dal
8252107,15668521,SSCEHNS,26/01/14,Bread
8252107,15669777,SSCEHNS,26/01/14,Urad Dal
8252107,7580823,SSCEHNS,26/01/14,Sunflower Oils
8252107,15669879,SSCEHNS,26/01/14,Other Dals
8252107,7601938,SSCEHNS,26/01/14,Cotton & Bandages
8199817,15668375,SSCEHNS,01/02/14,Root Vegetables
8199817,15669861,SSCEHNS,01/02/14,Raw Peanuts
8199817,15669863,SSCEHNS,01/02/14,Moong Dal
8199817,15669860,SSCEHNS,01/02/14,Moong Dal
8199817,15668685,SSCEHNS,01/02/14,Beans
8199817,15668521,SSCEHNS,01/02/14,Bread
8199817,15669772,SSCEHNS,01/02/14,Other Dals
8199817,15669865,SSCEHNS,01/02/14,Other Dals
8217619,15668377,SSCEHNS,09/02/14,Root Vegetables
8217619,15668684,SSCEHNS,09/02/14,Beans
8217619,15669863,SSCEHNS,09/02/14,Moong Dal
8217619,15668416,SSCEHNS,09/02/14,Banana
8217619,15669771,SSCEHNS,09/02/14,Maida
8217619,15669880,SSCEHNS,09/02/14,Sooji & Rava
8217619,15669777,SSCEHNS,09/02/14,Urad Dal
8217619,7580823,SSCEHNS,09/02/14,Sunflower Oils
8217619,15669865,SSCEHNS,09/02/14,Other Dals
8217619,15669970,SSCEHNS,09/02/14,Cashews
8134562,15668378,SSCEHNS,01/03/14,Other Vegetables
8134562,15668377,SSCEHNS,01/03/14,Root Vegetables
8134562,15668684,SSCEHNS,01/03/14,Beans
8134562,15669821,SSCEHNS,01/03/14,Whole Spices
8134562,15669832,SSCEHNS,01/03/14,Sugar
8134562,15668416,SSCEHNS,01/03/14,Banana
8134562,15669772,SSCEHNS,01/03/14,Other Dals
8134562,15669784,SSCEHNS,01/03/14,Basmati Rice
8134562,34986129,SSCEHNS,01/03/14,Whole Spices
8151852,15668451,SSCEHNS,08/03/14,Brinjals
8151852,15668377,SSCEHNS,08/03/14,Root Vegetables
8151852,15669878,SSCEHNS,08/03/14,Toor Dal
8151852,15669767,SSCEHNS,08/03/14,Urad Dal
8151852,15668416,SSCEHNS,08/03/14,Banana
8151852,7580823,SSCEHNS,08/03/14,Sunflower Oils
8151852,15669865,SSCEHNS,08/03/14,Other Dals
8151852,15669884,SSCEHNS,08/03/14,Whole Spices
8151852,15669970,SSCEHNS,08/03/14,Cashews
8101324,15668377,SSCEHNS,15/03/14,Root Vegetables
8101324,15668684,SSCEHNS,15/03/14,Beans
8101324,15669778,SSCEHNS,15/03/14,Other Dals
8101324,15668521,SSCEHNS,15/03/14,Bread
8101324,15669865,SSCEHNS,15/03/14,Other Dals
8101324,15669814,SSCEHNS,15/03/14,Jaggery
8101324,15669970,SSCEHNS,15/03/14,Cashews
8101324,15669811,SSCEHNS,15/03/14,Almonds
8118082,15668465,SSCEHNS,22/03/14,Root Vegetables
8118082,15668377,SSCEHNS,22/03/14,Root Vegetables
8118082,15669861,SSCEHNS,22/03/14,Raw Peanuts
8118082,15669767,SSCEHNS,22/03/14,Urad Dal
8118082,15669832,SSCEHNS,22/03/14,Sugar
8118082,15668416,SSCEHNS,22/03/14,Banana
8118082,15669772,SSCEHNS,22/03/14,Other Dals
8118082,7580823,SSCEHNS,22/03/14,Sunflower Oils
8118082,15669865,SSCEHNS,22/03/14,Other Dals
8118082,7637309,SSCEHNS,22/03/14,Mosquito Repellent
8202195,15668465,SSCESNS,03/02/14,Root Vegetables
8202195,15668378,SSCESNS,03/02/14,Other Vegetables
8202195,15668453,SSCESNS,03/02/14,Brinjals
8202195,15668377,SSCESNS,03/02/14,Root Vegetables
8202195,15669821,SSCESNS,03/02/14,Whole Spices
8202195,15669760,SSCESNS,03/02/14,Whole Spices
8202195,15669857,SSCESNS,03/02/14,Raw Peanuts
8202195,15669869,SSCESNS,03/02/14,Moong Dal
8202195,15669832,SSCESNS,03/02/14,Sugar
8202195,15668462,SSCESNS,03/02/14,Gourd & Cucumber
8202195,15669777,SSCESNS,03/02/14,Urad Dal
8202195,15669770,SSCESNS,03/02/14,Other Flours
8202195,15669874,SSCESNS,03/02/14,Avalakki / Poha
8202195,15669838,SSCESNS,03/02/14,Raw Rice
8202195,15669799,SSCESNS,03/02/14,Raisins
8202195,15670267,SSCESNS,03/02/14,Toor Dal
8202195,34986129,SSCESNS,03/02/14,Whole Spices
8202195,21408953,SSCESNS,03/02/14,Whole Spices
8202195,29247044,SSCESNS,03/02/14,Besan
8101025,15668375,SSCESNS,16/03/14,Root Vegetables
8101025,15668473,SSCESNS,16/03/14,Beans
8101025,15669860,SSCESNS,16/03/14,Moong Dal
8101025,15668456,SSCESNS,16/03/14,Brinjals
