basket_id,basket_items,recommended_items,recommended_items_details
7341985,Whole Spices; Brinjals; Moong Dal; Moong Dal; Gourd & Cucumber; Whole Spices; Whole Spices; Moong Dal,Other Dals; Beans; Other Vegetables; Toor Dal; Root Vegetables; Sugar; Sooji & Rava; Urad Dal; Raw Rice; Sunflower Oils,"Other Dals (Conf: 0.8208, Lift: 1.7883, Factor: 1); Beans (Conf: 0.7798, Lift: 1.7536, Factor: 1); Other Vegetables (Conf: 0.7778, Lift: 1.6833, Factor: 1); Toor Dal (Conf: 0.7203, Lift: 1.8655, Factor: 1); Root Vegetables (Conf: 0.6812, Lift: 1.6723, Factor: 1); Sugar (Conf: 0.6515, Lift: 1.8620, Factor: 1); Sooji & Rava (Conf: 0.5130, Lift: 1.8012, Factor: 1); Urad Dal (Conf: 0.5000, Lift: 1.6895, Factor: 1); Raw Rice (Conf: 0.3903, Lift: 1.6685, Factor: 1); Sunflower Oils (Conf: 0.3227, Lift: 1.7265, Factor: 1)"
7344710,Gourd & Cucumber; Boiled Rice; Other Dals; Beans; Root Vegetables; Other Oils; Other Vegetables,Whole Spices; Toor Dal; Sugar; Moong Dal; Brinjals; Urad Dal; Sooji & Rava; Raw Rice; Sunflower Oils; Avalakki / Poha,"Whole Spices (Conf: 0.7299, Lift: 1.7903, Factor: 1); Toor Dal (Conf: 0.6866, Lift: 1.7781, Factor: 1); Sugar (Conf: 0.6259, Lift: 1.7886, Factor: 1); Moong Dal (Conf: 0.6061, Lift: 1.7995, Factor: 1); Brinjals (Conf: 0.5778, Lift: 1.7702, Factor: 1); Urad Dal (Conf: 0.5297, Lift: 1.7898, Factor: 1); Sooji & Rava (Conf: 0.5084, Lift: 1.7853, Factor: 1); Raw Rice (Conf: 0.3563, Lift: 1.5231, Factor: 1); Sunflower Oils (Conf: 0.3353, Lift: 1.7941, Factor: 1); Avalakki / Poha (Conf: 0.3018, Lift: 1.7597, Factor: 1)"
7345164,Cooking Sauce; Sunflower Oils; Toor Dal; Brinjals; Ground Coffee; Beans; Other Vegetables; Beans; Root Vegetables; Raw Rice,Other Dals; Whole Spices; Sugar; Moong Dal; Gourd & Cucumber; Urad Dal; Sooji & Rava; Avalakki / Poha; Banana; Raw Peanuts,"Other Dals (Conf: 0.7782, Lift: 1.6956, Factor: 1); Whole Spices (Conf: 0.7215, Lift: 1.7697, Factor: 1); Sugar (Conf: 0.6159, Lift: 1.7603, Factor: 1); Moong Dal (Conf: 0.5927, Lift: 1.7598, Factor: 1); Gourd & Cucumber (Conf: 0.5361, Lift: 1.7008, Factor: 1); Urad Dal (Conf: 0.5240, Lift: 1.7705, Factor: 1); Sooji & Rava (Conf: 0.4491, Lift: 1.5770, Factor: 1); Avalakki / Poha (Conf: 0.3019, Lift: 1.7604, Factor: 1); Banana (Conf: 0.3000, Lift: 1.3240, Factor: 1); Raw Peanuts (Conf: 0.2641, Lift: 1.4898, Factor: 1)"
7347668,Whole Spices; Other Vegetables; Avalakki / Poha; Urad Dal; Whole Spices; Moong Dal; Toor Dal; Raisins; Maida; Cashews; Other Vegetables; Raw Peanuts; Root Vegetables; Ghee; Other Dals; Whole Spices,Beans; Sugar; Brinjals; Gourd & Cucumber; Sooji & Rava; Raw Rice; Banana; Sunflower Oils; Besan; Organic F&V,"Beans (Conf: 0.5854, Lift: 1.3163, Factor: 1); Sugar (Conf: 0.4341, Lift: 1.2406, Factor: 1); Brinjals (Conf: 0.4320, Lift: 1.3235, Factor: 1); Gourd & Cucumber (Conf: 0.3741, Lift: 1.1869, Factor: 1); Sooji & Rava (Conf: 0.3624, Lift: 1.2725, Factor: 1); Raw Rice (Conf: 0.3038, Lift: 1.2989, Factor: 1); Banana (Conf: 0.3000, Lift: 1.3240, Factor: 1); Sunflower Oils (Conf: 0.2461, Lift: 1.3168, Factor: 1); Besan (Conf: 0.1926, Lift: 1.3051, Factor: 1); Organic F&V (Conf: 0.1910, Lift: 1.0682, Factor: 1)"
7348817,"Other Oils; Whole Spices; Raw Rice; Toor Dal; Other Dals; Banana; Glucose, Marie & Milk Biscuits",Other Vegetables; Beans; Root Vegetables; Sugar; Brinjals; Gourd & Cucumber; Moong Dal; Urad Dal; Sooji & Rava; Sunflower Oils,"Other Vegetables (Conf: 0.7080, Lift: 1.5323, Factor: 1); Beans (Conf: 0.6829, Lift: 1.5357, Factor: 1); Root Vegetables (Conf: 0.6243, Lift: 1.5326, Factor: 1); Sugar (Conf: 0.5340, Lift: 1.5261, Factor: 1); Brinjals (Conf: 0.4986, Lift: 1.5275, Factor: 1); Gourd & Cucumber (Conf: 0.4706, Lift: 1.4929, Factor: 1); Moong Dal (Conf: 0.4643, Lift: 1.3785, Factor: 1); Urad Dal (Conf: 0.4406, Lift: 1.4887, Factor: 1); Sooji & Rava (Conf: 0.4350, Lift: 1.5276, Factor: 1); Sunflower Oils (Conf: 0.2767, Lift: 1.4803, Factor: 1)"
7353545,Urad Dal; Other Vegetables; Brinjals; Sugar; Body Wash; Moong Dal; Chilli & Soya Sauces; Gourd & Cucumber; Other Dals,Beans; Whole Spices; Root Vegetables; Toor Dal; Raw Rice; Banana; Sooji & Rava; Sunflower Oils; Organic F&V; Avalakki / Poha,"Beans (Conf: 0.6259, Lift: 1.4075, Factor: 1); Whole Spices (Conf: 0.5864, Lift: 1.4383, Factor: 1); Root Vegetables (Conf: 0.5860, Lift: 1.4387, Factor: 1); Toor Dal (Conf: 0.5460, Lift: 1.4140, Factor: 1); Raw Rice (Conf: 0.3366, Lift: 1.4391, Factor: 1); Banana (Conf: 0.3211, Lift: 1.4170, Factor: 1); Sooji & Rava (Conf: 0.3027, Lift: 1.0630, Factor: 1); Sunflower Oils (Conf: 0.2598, Lift: 1.3901, Factor: 1); Organic F&V (Conf: 0.2544, Lift: 1.4227, Factor: 1); Avalakki / Poha (Conf: 0.2417, Lift: 1.4096, Factor: 1)"
7362980,Beans; Exotic Vegetables; Almonds; Namkeen; Other Vegetables; Honey; Health Drinks,Urad Dal; Sooji & Rava; Whole Spices; Toor Dal; Other Dals; Sugar; Moong Dal; Gourd & Cucumber; Root Vegetables; Brinjals,"Urad Dal (Conf: 0.8020, Lift: 2.7098, Factor: 1); Sooji & Rava (Conf: 0.7545, Lift: 2.6496, Factor: 1); Whole Spices (Conf: 0.7532, Lift: 1.8473, Factor: 1); Toor Dal (Conf: 0.7411, Lift: 1.9192, Factor: 1); Other Dals (Conf: 0.6639, Lift: 1.4466, Factor: 1); Sugar (Conf: 0.6627, Lift: 1.8940, Factor: 1); Moong Dal (Conf: 0.6471, Lift: 1.9212, Factor: 1); Gourd & Cucumber (Conf: 0.5923, Lift: 1.8790, Factor: 1); Root Vegetables (Conf: 0.5855, Lift: 1.4374, Factor: 1); Brinjals (Conf: 0.5747, Lift: 1.7606, Factor: 1)"
7366964,Toor Dal; Other Dals; Other Dry Fruits; Beans; Root Vegetables; Other Vegetables; Raisins; Other Dals; Boiled Rice; Brinjals,Whole Spices; Moong Dal; Sugar; Gourd & Cucumber; Urad Dal; Sooji & Rava; Raw Rice; Banana; Sunflower Oils; Avalakki / Poha,"Whole Spices (Conf: 0.6524, Lift: 1.6003, Factor: 1); Moong Dal (Conf: 0.5629, Lift: 1.6712, Factor: 1); Sugar (Conf: 0.5471, Lift: 1.5635, Factor: 1); Gourd & Cucumber (Conf: 0.5239, Lift: 1.6620, Factor: 1); Urad Dal (Conf: 0.4655, Lift: 1.5729, Factor: 1); Sooji & Rava (Conf: 0.4491, Lift: 1.5770, Factor: 1); Raw Rice (Conf: 0.3736, Lift: 1.5973, Factor: 1); Banana (Conf: 0.3000, Lift: 1.3240, Factor: 1); Sunflower Oils (Conf: 0.2974, Lift: 1.5910, Factor: 1); Avalakki / Poha (Conf: 0.2744, Lift: 1.6002, Factor: 1)"
7368676,Cotton & Bandages; Avalakki / Poha; Toor Dal; Sooji & Rava; Jaggery; Phenyles & Acids; Toilet Cleaners; Moong Dal,Other Dals; Beans; Other Vegetables; Whole Spices; Root Vegetables; Sugar; Brinjals; Gourd & Cucumber; Urad Dal; Raw Rice,"Other Dals (Conf: 0.7455, Lift: 1.6242, Factor: 1); Beans (Conf: 0.7229, Lift: 1.6256, Factor: 1); Other Vegetables (Conf: 0.7194, Lift: 1.5571, Factor: 1); Whole Spices (Conf: 0.6655, Lift: 1.6323, Factor: 1); Root Vegetables (Conf: 0.6641, Lift: 1.6303, Factor: 1); Sugar (Conf: 0.5694, Lift: 1.6274, Factor: 1); Brinjals (Conf: 0.5292, Lift: 1.6213, Factor: 1); Gourd & Cucumber (Conf: 0.5047, Lift: 1.6012, Factor: 1); Urad Dal (Conf: 0.4619, Lift: 1.5606, Factor: 1); Raw Rice (Conf: 0.3767, Lift: 1.6106, Factor: 1)"
7369866,Other Dals; Other Dals; Root Vegetables; Other Dals; Other Vegetables; Other Dals; Root Vegetables,Beans; Whole Spices; Toor Dal; Sugar; Moong Dal; Brinjals; Urad Dal; Sooji & Rava; Gourd & Cucumber; Raw Rice,"Beans (Conf: 0.7890, Lift: 1.7743, Factor: 1); Whole Spices (Conf: 0.7719, Lift: 1.8933, Factor: 1); Toor Dal (Conf: 0.7411, Lift: 1.9192, Factor: 1); Sugar (Conf: 0.6724, Lift: 1.9217, Factor: 1); Moong Dal (Conf: 0.6471, Lift: 1.9212, Factor: 1); Brinjals (Conf: 0.5778, Lift: 1.7702, Factor: 1); Urad Dal (Conf: 0.5663, Lift: 1.9134, Factor: 1); Sooji & Rava (Conf: 0.5495, Lift: 1.9296, Factor: 1); Gourd & Cucumber (Conf: 0.4859, Lift: 1.5415, Factor: 1); Raw Rice (Conf: 0.3563, Lift: 1.5231, Factor: 1)"
