basket_id,basket_skus,basket_names,recommended_skus,recommended_names,recommended_details
7341985,34987567; 15668455; 15669869; 15669860; 15668462; 15669817; 15669823; 15669863,Whole Spices; Brinjals; Moong Dal; Moong Dal; Gourd & Cucumber; Whole Spices; Whole Spices; Moong Dal,15668381; 15668379; 15668688; 15668478; 15669860; 15668378; 15668467; 15668465,Other Vegetables; Other Vegetables; Root Vegetables; Banana; Moong Dal; Other Vegetables; Beans; Root Vegetables,"15668381 (Other Vegetables) - Conf: 0.4010, Lift: 1.9633, Factor: 1; 15668379 (Other Vegetables) - Conf: 0.2946, Lift: 1.5960, Factor: 1; 15668688 (Root Vegetables) - Conf: 0.2756, Lift: 1.4836, Factor: 1; 15668478 (Banana) - Conf: 0.1887, Lift: 1.3233, Factor: 1; 15669860 (Moong Dal) - Conf: 0.1865, Lift: 1.7348, Factor: 1; 15668378 (Other Vegetables) - Conf: 0.1805, Lift: 1.3231, Factor: 1; 15668467 (Beans) - Conf: 0.1775, Lift: 1.3195, Factor: 1; 15668465 (Root Vegetables) - Conf: 0.1712, Lift: 1.3221, Factor: 1"
7344710,15668462; 15669825; 15669772; 15668467; 15668465; 7580855; 15668381,Gourd & Cucumber; Boiled Rice; Other Dals; Beans; Root Vegetables; Other Oils; Other Vegetables,15668460; 15668381; 15669760; 15668688; 15669878; 15668379; 15668462; 15668467; 15668478; 15668378,Gourd & Cucumber; Other Vegetables; Whole Spices; Root Vegetables; Toor Dal; Other Vegetables; Gourd & Cucumber; Beans; Banana; Other Vegetables,"15668460 (Gourd & Cucumber) - Conf: 0.4554, Lift: 2.4674, Factor: 1; 15668381 (Other Vegetables) - Conf: 0.4010, Lift: 1.9633, Factor: 1; 15669760 (Whole Spices) - Conf: 0.3992, Lift: 3.3414, Factor: 1; 15668688 (Root Vegetables) - Conf: 0.3189, Lift: 1.7170, Factor: 1; 15669878 (Toor Dal) - Conf: 0.2975, Lift: 1.7348, Factor: 1; 15668379 (Other Vegetables) - Conf: 0.2946, Lift: 1.5960, Factor: 1; 15668462 (Gourd & Cucumber) - Conf: 0.2579, Lift: 2.0591, Factor: 1; 15668467 (Beans) - Conf: 0.2531, Lift: 1.8820, Factor: 1; 15668478 (Banana) - Conf: 0.2448, Lift: 1.7170, Factor: 1; 15668378 (Other Vegetables) - Conf: 0.2317, Lift: 1.6987, Factor: 1"
7345164,92435740; 7625765; 34986328; 15668451; 7689353; 15668474; 15668378; 15668467; 15668465; 15669824,Cooking Sauce; Sunflower Oils; Toor Dal; Brinjals; Ground Coffee; Beans; Other Vegetables; Beans; Root Vegetables; Raw Rice,15668460; 15669869; 15668688; 15668381; 15669821; 15668467; 15668379; 15669878; 15668462; 15668458,Gourd & Cucumber; Moong Dal; Root Vegetables; Other Vegetables; Whole Spices; Beans; Other Vegetables; Toor Dal; Gourd & Cucumber; Brinjals,"15668460 (Gourd & Cucumber) - Conf: 0.4554, Lift: 2.4674, Factor: 1; 15669869 (Moong Dal) - Conf: 0.3287, Lift: 2.5928, Factor: 1; 15668688 (Root Vegetables) - Conf: 0.3189, Lift: 1.7170, Factor: 1; 15668381 (Other Vegetables) - Conf: 0.3171, Lift: 1.5525, Factor: 1; 15669821 (Whole Spices) - Conf: 0.3065, Lift: 3.3414, Factor: 1; 15668467 (Beans) - Conf: 0.2797, Lift: 2.0794, Factor: 1; 15668379 (Other Vegetables) - Conf: 0.2698, Lift: 1.4617, Factor: 1; 15669878 (Toor Dal) - Conf: 0.2516, Lift: 1.4669, Factor: 1; 15668462 (Gourd & Cucumber) - Conf: 0.2338, Lift: 1.8670, Factor: 1; 15668458 (Brinjals) - Conf: 0.1921, Lift: 2.4674, Factor: 1"
7347668,15669817; 15668378; 15669874; 15669777; 15669884; 15669869; 15669878; 34989595; 15669887; 15669804; 15668381; 15669861; 15668375; 7624786; 15669994; 15669821,Whole Spices; Other Vegetables; Avalakki / Poha; Urad Dal; Whole Spices; Moong Dal; Toor Dal; Raisins; Maida; Cashews; Other Vegetables; Raw Peanuts; Root Vegetables; Ghee; Other Dals; Whole Spices,15669760; 15668381; 15669869; 15669821; 15668460; 15668688; 15669878; 15668467; 15668462; 15668379,Whole Spices; Other Vegetables; Moong Dal; Whole Spices; Gourd & Cucumber; Root Vegetables; Toor Dal; Beans; Gourd & Cucumber; Other Vegetables,"15669760 (Whole Spices) - Conf: 0.3992, Lift: 3.3414, Factor: 1; 15668381 (Other Vegetables) - Conf: 0.3695, Lift: 1.8093, Factor: 1; 15669869 (Moong Dal) - Conf: 0.3287, Lift: 2.5928, Factor: 1; 15669821 (Whole Spices) - Conf: 0.3065, Lift: 3.3414, Factor: 1; 15668460 (Gourd & Cucumber) - Conf: 0.3037, Lift: 1.6454, Factor: 1; 15668688 (Root Vegetables) - Conf: 0.3027, Lift: 1.6298, Factor: 1; 15669878 (Toor Dal) - Conf: 0.2975, Lift: 1.7348, Factor: 1; 15668467 (Beans) - Conf: 0.2797, Lift: 2.0794, Factor: 1; 15668462 (Gourd & Cucumber) - Conf: 0.2579, Lift: 2.0591, Factor: 1; 15668379 (Other Vegetables) - Conf: 0.2492, Lift: 1.3502, Factor: 1"
7348817,7580855; 21408952; 15669829; 15670267; 15669776; 15668478; 7541573,"Other Oils; Whole Spices; Raw Rice; Toor Dal; Other Dals; Banana; Glucose, Marie & Milk Biscuits",15668379; 15668688; 15668465; 15669863,Other Vegetables; Root Vegetables; Root Vegetables; Moong Dal,"15668379 (Other Vegetables) - Conf: 0.3008, Lift: 1.6298, Factor: 1; 15668688 (Root Vegetables) - Conf: 0.2585, Lift: 1.3917, Factor: 1; 15668465 (Root Vegetables) - Conf: 0.2378, Lift: 1.8369, Factor: 1; 15669863 (Moong Dal) - Conf: 0.1820, Lift: 1.4669, Factor: 1"
7353545,15669762; 15668380; 15668458; 15669832; 93174226; 15669869; 7578341; 15668460; 15669778,Urad Dal; Other Vegetables; Brinjals; Sugar; Body Wash; Moong Dal; Chilli & Soya Sauces; Gourd & Cucumber; Other Dals,15668688; 15668460; 15668381; 15669777; 15669878; 15668478; 15669780; 15668467; 15668465; 15668468,Root Vegetables; Gourd & Cucumber; Other Vegetables; Urad Dal; Toor Dal; Banana; Sugar; Beans; Root Vegetables; Beans,"15668688 (Root Vegetables) - Conf: 0.3690, Lift: 1.9869, Factor: 1; 15668460 (Gourd & Cucumber) - Conf: 0.3340, Lift: 1.8093, Factor: 1; 15668381 (Other Vegetables) - Conf: 0.3266, Lift: 1.5993, Factor: 1; 15669777 (Urad Dal) - Conf: 0.2888, Lift: 2.5928, Factor: 1; 15669878 (Toor Dal) - Conf: 0.2736, Lift: 1.5952, Factor: 1; 15668478 (Banana) - Conf: 0.2276, Lift: 1.5960, Factor: 1; 15669780 (Sugar) - Conf: 0.2270, Lift: 1.5338, Factor: 1; 15668467 (Beans) - Conf: 0.2151, Lift: 1.5993, Factor: 1; 15668465 (Root Vegetables) - Conf: 0.2000, Lift: 1.5446, Factor: 1; 15668468 (Beans) - Conf: 0.1962, Lift: 1.5525, Factor: 1"
7362980,15668467; 15668449; 15669977; 7572300; 15668378; 7613346; 7753740,Beans; Exotic Vegetables; Almonds; Namkeen; Other Vegetables; Honey; Health Drinks,15668460; 15669869; 15668381; 15669821; 15668467; 15668462; 15668458; 15668468,Gourd & Cucumber; Moong Dal; Other Vegetables; Whole Spices; Beans; Gourd & Cucumber; Brinjals; Beans,"15668460 (Gourd & Cucumber) - Conf: 0.4554, Lift: 2.4674, Factor: 1; 15669869 (Moong Dal) - Conf: 0.3287, Lift: 2.5928, Factor: 1; 15668381 (Other Vegetables) - Conf: 0.3171, Lift: 1.5525, Factor: 1; 15669821 (Whole Spices) - Conf: 0.3065, Lift: 3.3414, Factor: 1; 15668467 (Beans) - Conf: 0.2797, Lift: 2.0794, Factor: 1; 15668462 (Gourd & Cucumber) - Conf: 0.2338, Lift: 1.8670, Factor: 1; 15668458 (Brinjals) - Conf: 0.1921, Lift: 2.4674, Factor: 1; 15668468 (Beans) - Conf: 0.1846, Lift: 1.4609, Factor: 1"
7366964,15669878; 15669879; 15669792; 15668468; 15668688; 15668379; 15669799; 15669993; 15669828; 15668451,Toor Dal; Other Dals; Other Dry Fruits; Beans; Root Vegetables; Other Vegetables; Raisins; Other Dals; Boiled Rice; Brinjals,15668688; 15668460; 15668379; 15668381; 15668378; 15668467; 15669878; 15668478; 15668465; 15668468,Root Vegetables; Gourd & Cucumber; Other Vegetables; Other Vegetables; Other Vegetables; Beans; Toor Dal; Banana; Root Vegetables; Beans,"15668688 (Root Vegetables) - Conf: 0.3496, Lift: 1.8820, Factor: 1; 15668460 (Gourd & Cucumber) - Conf: 0.3446, Lift: 1.8670, Factor: 1; 15668379 (Other Vegetables) - Conf: 0.3415, Lift: 1.8499, Factor: 1; 15668381 (Other Vegetables) - Conf: 0.3155, Lift: 1.5446, Factor: 1; 15668378 (Other Vegetables) - Conf: 0.2837, Lift: 2.0794, Factor: 1; 15668467 (Beans) - Conf: 0.2769, Lift: 2.0591, Factor: 1; 15669878 (Toor Dal) - Conf: 0.2630, Lift: 1.5338, Factor: 1; 15668478 (Banana) - Conf: 0.2619, Lift: 1.8369, Factor: 1; 15668465 (Root Vegetables) - Conf: 0.2573, Lift: 1.9869, Factor: 1; 15668468 (Beans) - Conf: 0.2338, Lift: 1.8499, Factor: 1"
7368676,7601938; 15669786; 15670267; 15669881; 15669815; 93289485; 7570488; 15669863,Cotton & Bandages; Avalakki / Poha; Toor Dal; Sooji & Rava; Jaggery; Phenyles & Acids; Toilet Cleaners; Moong Dal,15668465,Root Vegetables,"15668465 (Root Vegetables) - Conf: 0.1712, Lift: 1.3221, Factor: 1"
7369866,15670269; 15669772; 15668375; 15669866; 15668380; 21409004; 15668465,Other Dals; Other Dals; Root Vegetables; Other Dals; Other Vegetables; Other Dals; Root Vegetables,15668688; 15668381; 15668379; 15668467; 15669878; 15669869,Root Vegetables; Other Vegetables; Other Vegetables; Beans; Toor Dal; Moong Dal,"15668688 (Root Vegetables) - Conf: 0.3189, Lift: 1.7170, Factor: 1; 15668381 (Other Vegetables) - Conf: 0.3015, Lift: 1.4764, Factor: 1; 15668379 (Other Vegetables) - Conf: 0.2698, Lift: 1.4617, Factor: 1; 15668467 (Beans) - Conf: 0.2531, Lift: 1.8820, Factor: 1; 15669878 (Toor Dal) - Conf: 0.2516, Lift: 1.4669, Factor: 1; 15669869 (Moong Dal) - Conf: 0.2022, Lift: 1.5952, Factor: 1"
7369894,15670260; 15670241; 34987220; 15668416; 7570497; 15670157,Organic F&V; Organic F&V; Ice Creams & Desserts; Banana; Toothpaste; Organic F&V,,,
7370585,15669863; 15668687; 34987569; 15669773; 15669769; 34986328; 15668378,Moong Dal; Root Vegetables; Powdered Spices; Urad Dal; Other Dals; Toor Dal; Other Vegetables,15669869; 15669821; 15668467; 15668458; 15668465,Moong Dal; Whole Spices; Beans; Brinjals; Root Vegetables,"15669869 (Moong Dal) - Conf: 0.3287, Lift: 2.5928, Factor: 1; 15669821 (Whole Spices) - Conf: 0.3065, Lift: 3.3414, Factor: 1; 15668467 (Beans) - Conf: 0.2797, Lift: 2.0794, Factor: 1; 15668458 (Brinjals) - Conf: 0.1921, Lift: 2.4674, Factor: 1; 15668465 (Root Vegetables) - Conf: 0.1712, Lift: 1.3221, Factor: 1"
7377566,15669816; 15669961; 15669869; 15669778; 15669988; 15668380; 15669957; 15669765; 21409004; 15669976; 34986125; 15668460; 15669763; 15668377; 15669817,Other Dals; Other Dry Fruits; Moong Dal; Other Dals; Other Dals; Other Vegetables; Other Dry Fruits; Urad Dal; Other Dals; Almonds; Whole Spices; Gourd & Cucumber; Other Dals; Root Vegetables; Whole Spices,15668688; 15668460; 15669777; 15669878; 15668478; 15669780; 15668467; 15668465; 15668468,Root Vegetables; Gourd & Cucumber; Urad Dal; Toor Dal; Banana; Sugar; Beans; Root Vegetables; Beans,"15668688 (Root Vegetables) - Conf: 0.3690, Lift: 1.9869, Factor: 1; 15668460 (Gourd & Cucumber) - Conf: 0.3340, Lift: 1.8093, Factor: 1; 15669777 (Urad Dal) - Conf: 0.2888, Lift: 2.5928, Factor: 1; 15669878 (Toor Dal) - Conf: 0.2736, Lift: 1.5952, Factor: 1; 15668478 (Banana) - Conf: 0.2276, Lift: 1.5960, Factor: 1; 15669780 (Sugar) - Conf: 0.2270, Lift: 1.5338, Factor: 1; 15668467 (Beans) - Conf: 0.2151, Lift: 1.5993, Factor: 1; 15668465 (Root Vegetables) - Conf: 0.2000, Lift: 1.5446, Factor: 1; 15668468 (Beans) - Conf: 0.1962, Lift: 1.5525, Factor: 1"
