,0
0,"Moong Dal,Sugar,Sooji & Rava,Rice Flour,Other Dals,Sooji & Rava,Ghee,Boiled Rice,Whole Spices,Other Dals"
1,"Other Vegetables,Other Vegetables,Root Vegetables,Gourd & Cucumber,Beans,Sugar,Cakes,Cakes,Mustard Oils"
2,"Beans,Other Dals,Urad Dal,Other Dals,Other Dals,Other Dals,Beans,Brinjals,Instant Noodles,Toor Dal"
3,"Root Vegetables,Gourd & Cucumber,Whole Spices,Whole Spices,Moong Dal,Other Dals,Beans,Toor Dal,Raw Rice,Avalakki / Poha,Cooking Paste,Other Dals,Other Rice Products"
4,"Brinjals,Other Vegetables,Beans,Other Vegetables,Gourd & Cucumber,Gourd & Cucumber,Organic F&V,Whole Spices,Powdered Spices"
5,"Bread,Other Vegetables,Banana,Rice Flour,Raisins,Other Dry Fruits,Almonds,Organic F&V,Organic F&V,Namkeen"
6,"Urad Dal,Sooji & Rava,Sooji & Rava,Glucose, Marie & Milk Biscuits,Jaggery,Whole Spices,Raisins,Almonds,Glucose, Marie & Milk Biscuits,Toor Dal"
7,"Root Vegetables,Other Vegetables,Beans,Moong Dal,Other Dals,Toor Dal,Moong Dal,Other Dals,Sugar,Other Dals"
8,"Other Vegetables,Brinjals,Other Vegetables,Banana,Gourd & Cucumber,Other Dals,Urad Dal,Other Dals,Toothpaste,Toor Dal"
9,"Other Vegetables,Other Vegetables,Root Vegetables,Other Dals,Cooking Paste,Avalakki / Poha,Other Dals,Beans,Maida,Other Dals,Toor Dal,Namkeen,Tomato Ketchup,Other Dals,Besan"
10,"Namkeen,Other Vegetables,Beans,Liquid Soaps & Bars,Sugar,Urad Dal,Namkeen,Basmati Rice,Brinjals"
11,"Whole Spices,Moong Dal,Other Dals,Toor Dal,Other Dals,Urad Dal,Other Rice Products,Sugar,Other Dals,Urad Dal,Boiled Rice,Ghee,Health Drinks"
12,"Whole Spices,Moong Dal,Vermicelli,Raw Peanuts,Other Dals,Other Dals,Sooji & Rava,Sooji & Rava,Other Rice Products,Sugar,Maida,Phenyles & Acids,Sugar,Jaggery,Cream Biscuits,Raw Rice,Mosquito Repellent"
13,"Beans,Brinjals,Beans,Raw Peanuts,Other Dals,Banana,Gourd & Cucumber,Raw Rice"
14,"Other Vegetables,Beans,Brinjals,Brinjals,Root Vegetables,Beans,Gourd & Cucumber,Bread,Sunflower Oils"
15,"Bread,Other Vegetables,Root Vegetables,Beans,Gourd & Cucumber,Whole Spices,Urad Dal,Banana,Sooji & Rava,Cashews,Toor Dal"
16,"Root Vegetables,Other Vegetables,Other Vegetables,Beans,Whole Spices,Sugar,Mosquito Repellent,Mosquito Repellent,Sunflower Oils,Raw Rice,Raw Rice,Toor Dal,Other Dals,Other Dals"
17,"Raw Peanuts,Avalakki / Poha,Sooji & Rava,Ghee,Raw Rice,Shaving Blade & Razors,Liquid Soaps & Bars,Toor Dal"
18,"Root Vegetables,Brinjals,Other Vegetables,Other Vegetables,Root Vegetables,Other Dals,Other Dals,Raw Rice,Toothpaste,Other Dals"
