Order,SKU,Member,Delivery Date,Name
7409204,15669778,SWLCNOE,05/09/13,Other Dals
8076206,15669977,SWOEZES,01/04/14,Almonds
7560723,7593949,SSWWRHW,30/06/13,Cream Biscuits
8362837,15669764,SWLSCOZ,06/11/13,Besan
8202458,15670196,SSRCRSO,03/02/14,Organic F&V
8081317,15669970,SWLZSNO,03/04/14,Cashews
8378408,15668457,SSWLNRZ,15/11/13,Brinjals
7440894,15669885,SSWZHRR,16/08/13,Moong Dal
7738863,15668685,SWOHOER,11/12/12,Beans
7771136,15668685,SWOCNOC,14/10/12,Beans
8223433,7572304,SSZNOWR,11/02/14,Namkeen
8105205,15669780,SWRNHCS,17/03/14,Sugar
8082175,7598720,SSSEWLS,04/04/14,Agarbatti
8089212,15668377,SWCNZWN,06/04/14,Root Vegetables
8151550,15669799,SWECZOC,09/03/14,Raisins
8133840,15669878,SWCZCSZ,01/03/14,Toor Dal
7748353,15669772,SWNROCL,22/12/12,Other Dals
7690884,7572254,SWOSSRS,17/03/13,Cooking Sauce
8074318,15669972,SSHCNOH,02/04/14,Cashews
8247009,15669880,SWOWWLL,25/01/14,Sooji & Rava
7381183,15668381,SWOZCRC,28/09/13,Other Vegetables
8315583,34986129,SSZRRWR,21/12/13,Whole Spices
8227204,15669782,SWNSEHW,14/01/14,Raw Rice
8135835,15669778,SSZEWOW,02/03/14,Other Dals
8109601,15669880,SSEWSWC,18/03/14,Sooji & Rava
8230221,15668377,SSNLCOZ,15/01/14,Root Vegetables
7377566,15669816,SWRHCCH,26/09/13,Other Dals
7605272,7569806,SWOZLCN,29/04/13,Namkeen
7775378,15668478,SWOCEEH,23/10/12,Banana
7480357,7587691,SWLNWOC,02/08/13,Organic Masalas & Spices
7469858,15668688,SSLRSWO,03/09/13,Root Vegetables
7686733,15668465,SWOOLHC,12/03/13,Root Vegetables
8273657,15669771,SWNRZEW,03/01/14,Maida
8089109,15669817,SSLNHHC,06/04/14,Whole Spices
8223433,15670157,SSZNOWR,11/02/14,Organic F&V
8064480,15668453,SSRCENS,28/03/14,Brinjals
8277630,15668474,SWNHZNC,05/01/14,Beans
8282341,15668379,SSRORNN,08/01/14,Other Vegetables
7742018,15668688,SWLRHRW,12/12/12,Root Vegetables
7710637,15670144,SWCSHZW,26/01/13,Organic F&V
7399616,34986123,SSLWESH,08/10/13,Whole Spices
8089417,34987569,SWCCRWR,06/04/14,Powdered Spices
8136707,15669785,SWOHNSL,02/03/14,Boiled Rice
8080319,15670157,SSNSECH,03/04/14,Organic F&V
8133840,15668416,SWCZCSZ,01/03/14,Banana
8355025,15669869,SWOCHZL,08/12/13,Moong Dal
8247161,15668475,SWONLWN,23/01/14,Beans
7663653,15669866,SWNEOSH,22/04/13,Other Dals
8094384,15668465,SSSEWCH,11/03/14,Root Vegetables
7516989,15669817,SWRHHWL,13/07/13,Whole Spices
8131359,34989441,SWHRCEO,28/02/14,Soya Products
8119388,15668458,SWLSCLN,23/03/14,Brinjals
8149245,15669856,SSWELWZ,07/03/14,Sugar
7518687,15669860,SWNEESC,15/07/13,Moong Dal
8169684,15668378,SWLCCWC,17/02/14,Other Vegetables
8283998,15668478,SSLRELN,09/01/14,Banana
8342762,15669977,SSWZRHL,02/12/13,Almonds
8337624,15669998,SWREHHO,29/11/13,Other Dals
8101018,15669887,SSLREZW,15/03/14,Maida
8140923,34986328,SWNZHZN,04/03/14,Toor Dal
8061961,15668471,SSSCOOH,27/03/14,Beans
8269031,15670168,SWRLHOS,02/01/14,Organic F&V
7730836,15668494,SWNNOWW,18/02/13,Exotic Vegetables
8322799,7572302,SWOCNCN,25/12/13,Namkeen
7826605,15668380,SWNRWOH,24/09/12,Other Vegetables
7812284,7578229,SWLLESL,21/08/12,Chinese Noodles
8227204,15668381,SWNSEHW,14/01/14,Other Vegetables
8079315,7718555,SSSHNNH,02/04/14,Other Oils
8087495,7572306,SSCZRCZ,05/04/14,Snacky Nuts
7830638,15670168,SWLSZWZ,02/10/12,Organic F&V
8265392,34992815,SWCCSEN,30/12/13,Cookies
7756215,15670254,SWNNZOR,04/01/13,Organic F&V
8082175,15669780,SSSEWLS,04/04/14,Sugar
8096359,15668378,SSWRLZN,13/03/14,Other Vegetables
8192688,15669814,SSZLWLC,01/02/14,Jaggery
8205042,15669780,SSSNESR,04/02/14,Sugar
8087997,15668520,SWCOLON,06/04/14,Bread
8071092,15668594,SSLNESH,30/03/14,Exotic Vegetables
8180759,15669772,SSWWLCZ,22/02/14,Other Dals
7504989,15668378,SWLECZN,06/07/13,Other Vegetables
7493590,15669780,SWRELHW,07/08/13,Sugar
7585530,15668520,SWOSCLE,02/06/13,Bread
8170383,34989441,SSRRSOZ,17/02/14,Soya Products
8230690,15669777,SSWREEE,14/01/14,Urad Dal
8214422,15670168,SWHCOOW,07/02/14,Organic F&V
8083432,34986123,SSLLLZC,04/04/14,Whole Spices
8256966,93073679,SSNNSRR,29/01/14,Namkeen
7618192,15670172,SWLLREW,08/05/13,Organic F&V
8065871,15668458,SSWCOLR,29/03/14,Brinjals
8180759,15669878,SSWWLCZ,22/02/14,Toor Dal
8066070,7572430,SSCZESH,30/03/14,Cooking Paste
8120159,15668381,SWLZRZH,23/03/14,Other Vegetables
8287030,15669760,SWOHOZL,10/01/14,Whole Spices
7448378,15669789,SWORWHW,20/08/13,Boiled Rice
8072719,29247044,SWNZOLC,31/03/14,Besan
8108141,15669863,SSRCEWZ,19/03/14,Moong Dal
7559166,15668685,SWOOOLL,29/06/13,Beans
7489019,15669860,SWESSEO,06/08/13,Moong Dal
7863862,15669772,SWNESWN,03/07/12,Other Dals
8089212,34990372,SWCNZWN,06/04/14,Healthy & Digestive Biscuits
8149114,34992815,SSLLREN,07/03/14,Cookies
7707108,15668459,SWONWWS,22/01/13,Gourd & Cucumber
7565166,15668458,SWLWHWC,02/07/13,Brinjals
8384422,7541573,SSWNRHC,18/11/13,"Glucose, Marie & Milk Biscuits"
8131359,15669885,SWHRCEO,28/02/14,Moong Dal
8162986,15669862,SSSWSNS,13/02/14,Other Dals
8074475,15669799,SWNRLOS,01/04/14,Raisins
8102389,15668377,SSCZSEE,15/03/14,Root Vegetables
8142419,15670009,SSNRHCO,04/03/14,Almonds
8346285,34986118,SWHENWW,03/12/13,Whole Spices
8092443,7613346,SWOZSCZ,07/04/14,Honey
8152823,21408953,SWEONLR,09/03/14,Whole Spices
7345164,92435740,SWCENNH,16/10/13,Cooking Sauce
8080057,15668381,SSCLSCL,03/04/14,Other Vegetables
7565166,15668416,SWLWHWC,02/07/13,Banana
8120159,7735760,SWLZRZH,23/03/14,Namkeen
7421133,7572303,SWEHORE,13/09/13,Namkeen
8131359,15668458,SWHRCEO,28/02/14,Brinjals
8124069,15668685,SSONROH,25/03/14,Beans
8136707,15669790,SWOHNSL,02/03/14,Other Rice Products
8209386,15669832,SSCRSZS,05/02/14,Sugar
8112726,15669832,SWREHOR,20/03/14,Sugar
7764086,15669886,SWLEWSE,13/01/13,Sooji & Rava
7785531,15669816,SWOCLHE,11/11/12,Other Dals
7724198,15670260,SSZZZOE,12/02/13,Organic F&V
8139620,15669771,SWCHOEW,03/03/14,Maida
7409204,15669763,SWLCNOE,05/09/13,Other Dals
8088038,15669860,SWLNZNC,06/04/14,Moong Dal
8087273,15668379,SSCRSWO,06/04/14,Other Vegetables
8213907,34986126,SSNZRZN,08/02/14,Whole Spices
8078727,15669860,SSHOZRZ,03/04/14,Moong Dal
8356240,15668378,SWHNLCN,02/11/13,Other Vegetables
7654205,15669856,SWRHNWW,13/04/13,Sugar
8150875,7757971,SWOSOHE,08/03/14,Ghee
8109601,15668519,SSEWSWC,18/03/14,Bread
8127465,15669778,SSEWSRE,26/02/14,Other Dals
7821280,15669885,SWLLZCE,09/09/12,Moong Dal
7717595,15668379,SWLZNHZ,03/02/13,Other Vegetables
8106238,15670253,SSWOOZW,17/03/14,Organic F&V
8081317,15669886,SWLZSNO,03/04/14,Sooji & Rava
8342609,15669772,SWLCOHC,01/12/13,Other Dals
8355025,15669817,SWOCHZL,08/12/13,Whole Spices
7633637,15668470,SWERHHR,20/05/13,Beans
8083038,15669799,SSCWNSN,04/04/14,Raisins
7608368,15669781,SWRCSSC,04/05/13,Rice Flour
8081573,34986449,SWORNSW,04/04/14,Toothpaste
8172842,7627858,SWLERES,18/02/14,Sunflower Oils
7381183,7624788,SWOZCRC,28/09/13,Ghee
7809643,7579698,SWLHWZE,08/08/12,Cream Biscuits
7826605,15669761,SWNRWOH,24/09/12,Whole Spices
8276533,34987566,SWHELSW,05/01/14,Whole Spices
8220172,7585573,SSLOZSC,10/02/14,Cakes
8075344,7569802,SWOSZOL,01/04/14,Namkeen
8106290,15669832,SWLCEZW,17/03/14,Sugar
7862618,15669778,SWNNNES,02/07/12,Other Dals
8102389,34986113,SSCZSEE,15/03/14,Whole Spices
8256944,15668462,SSSZCHS,29/01/14,Gourd & Cucumber
8133880,15670157,SSLWESO,01/03/14,Organic F&V
8200309,15670008,SWOORON,02/02/14,Cashews
8096359,15669970,SSWRLZN,13/03/14,Cashews
7604413,15668379,SWNOLEE,28/04/13,Other Vegetables
8072719,15669875,SWNZOLC,31/03/14,Toor Dal
8120853,7587492,SSLSNCH,23/03/14,"Organic Salt,Sugar & Jaggery"
8064356,7585573,SWHERHH,28/03/14,Cakes
8322799,15669954,SWOCNCN,25/12/13,Other Dry Fruits
7863862,7586147,SWNESWN,03/07/12,Instant Pastas
8061961,15669863,SSSCOOH,27/03/14,Moong Dal
7515099,7547296,SWHLSNW,12/07/13,Liquid Soaps & Bars
7819500,15669832,SWLLLCW,07/09/12,Sugar
8080596,15669878,SSNLZHH,03/04/14,Toor Dal
8105205,15669873,SWRNHCS,17/03/14,Whole Spices
8086954,15669763,SSOEZWZ,06/04/14,Other Dals
8076206,34989594,SWOEZES,01/04/14,Raisins
8156893,15670248,SSZZLOE,10/03/14,Organic F&V
8129915,15668378,SWEORLR,28/02/14,Other Vegetables
7503858,15668684,SWLRZNL,14/08/13,Beans
7742018,15670260,SWLRHRW,12/12/12,Organic F&V
8145266,7625765,SWNRHWZ,06/03/14,Sunflower Oils
7584632,15669780,SWLNECZ,03/06/13,Sugar
8069362,15668380,SSRENSZ,30/03/14,Other Vegetables
8230690,15669860,SSWREEE,14/01/14,Moong Dal
8083081,15668478,SSNCWZO,04/04/14,Banana
7806900,15668379,SWLWCSW,31/07/12,Other Vegetables
7587814,15670251,SWCSEHL,03/06/13,Organic F&V
8089212,34989441,SWCNZWN,06/04/14,Soya Products
8328427,15669876,SWLWNSW,24/11/13,Toor Dal
8170383,7580823,SSRRSOZ,17/02/14,Sunflower Oils
8106290,15668416,SWLCEZW,17/03/14,Banana
8194178,15668449,SWOOLLE,30/01/14,Exotic Vegetables
7605272,7753738,SWOZLCN,29/04/13,Health Drinks
7824172,15668467,SWLROCE,15/09/12,Beans
8181093,15670269,SSRHSRW,22/02/14,Other Dals
8070264,15668448,SSRWCWC,30/03/14,Exotic Vegetables
8289409,7753739,SSZLLCR,11/01/14,Health Drinks
7793755,15668379,SWLWCLW,25/11/12,Other Vegetables
8162986,15669767,SSSWSNS,13/02/14,Urad Dal
8122344,15669856,SSLWHRH,24/03/14,Sugar
7476772,15669863,SWCZZNN,29/07/13,Moong Dal
8074536,15670270,SSEOLNO,02/04/14,Other Dals
7734225,15669867,SWNSWNZ,02/12/12,Other Dals
7783825,15669781,SWNSRNC,08/11/12,Rice Flour
8089133,7580823,SWONORL,06/04/14,Sunflower Oils
7719372,15669983,SWLNNNE,06/02/13,Other Dry Fruits
7406145,15669764,SWLSWLN,04/09/13,Besan
7526450,15670259,SWNLZNW,20/07/13,Organic F&V
7707108,15670157,SWONWWS,22/01/13,Organic F&V
8170027,7642814,SWERWCW,16/02/14,Basmati Rice
7653432,15669956,SWNWCOL,13/04/13,Other Dry Fruits
7782046,15670157,SWNHZEE,04/11/12,Organic F&V
8193965,34986129,SWLWNLC,30/01/14,Whole Spices
8355249,7569799,SSNENRR,08/12/13,Namkeen
7399616,15670168,SSLWESH,08/10/13,Organic F&V
8120435,15669878,SWHRZSW,23/03/14,Toor Dal
8183211,7570567,SSCNLEC,23/02/14,Toffee & Candy
7760313,93289486,SWNHHOR,08/01/13,Phenyles & Acids
7749985,15669869,SWLRHSR,26/12/12,Moong Dal
8182610,15669823,SSERNHC,22/02/14,Whole Spices
8133653,15668478,SSERELN,01/03/14,Banana
7381183,7580802,SWOZCRC,28/09/13,Sunflower Oils
8095702,15669860,SWRLOEC,12/03/14,Moong Dal
8270508,34992815,SWOCEOZ,02/01/14,Cookies
7663653,15669769,SWNEOSH,22/04/13,Other Dals
7707108,15670251,SWONWWS,22/01/13,Organic F&V
7764086,15669764,SWLEWSE,13/01/13,Besan
7362980,15668467,SWEOLLO,26/10/13,Beans
7487417,15669781,SWNWHRL,04/08/13,Rice Flour
7341985,34987567,SWCCWNZ,13/10/13,Whole Spices
8380659,15669864,SWENOEW,16/11/13,Other Dals
8096457,7574197,SWEOOLR,12/03/14,Vermicelli
8083357,15669863,SSSHLNW,04/04/14,Moong Dal
8120360,15668375,SSHEECO,24/03/14,Root Vegetables
8289766,7587674,SSLZROS,12/01/14,Organic Masalas & Spices
8344961,7574197,SSRZOES,03/12/13,Vermicelli
7757206,15669824,SWOCOOS,05/01/13,Raw Rice
8338252,92388008,SSZSNZN,29/11/13,Namkeen
8141498,15669769,SWLRHRL,04/03/14,Other Dals
8177589,21408947,SSOSHZS,20/02/14,Other Rice Products
8153266,15669885,SSZLEOL,09/03/14,Moong Dal
8342762,15669860,SSWZRHL,02/12/13,Moong Dal
8265380,34992815,SSRWONW,30/12/13,Cookies
7525683,15670260,SWOCNOH,19/07/13,Organic F&V
8081317,7572302,SWLZSNO,03/04/14,Namkeen
8145266,15669776,SWNRHWZ,06/03/14,Other Dals
8108886,15669769,SWLHONH,18/03/14,Other Dals
7431323,15670250,SWOECRH,20/09/13,Organic F&V
8353022,7632452,SSZWROC,06/12/13,Liquid Detergent
7783137,15669856,SWOERZO,05/11/12,Sugar
8131353,34992815,SWEZZLR,28/02/14,Cookies
7489019,15668381,SWESSEO,06/08/13,Other Vegetables
8356860,15669823,SWOSECL,01/11/13,Whole Spices
8131815,15668684,SSSWORL,01/03/14,Beans
8110925,15668685,SSSREHN,19/03/14,Beans
8099217,7571385,SSRLORR,14/03/14,"Glucose, Marie & Milk Biscuits"
7517755,15668687,SSZEWNZ,14/07/13,Root Vegetables
8182845,15668473,SWHOOOO,23/02/14,Beans
8077922,15669817,SWNNRHE,02/04/14,Whole Spices
7682148,15669860,SWEEWEL,09/03/13,Moong Dal
8342762,34986120,SSWZRHL,02/12/13,Other Dry Fruits
8374672,15669859,SWNZWNZ,13/11/13,Toor Dal
8065270,15669767,SSRNLNN,28/03/14,Urad Dal
8153963,15670270,SWEWCER,09/03/14,Other Dals
8226177,15668465,SWHONHS,13/01/14,Root Vegetables
8075477,15669996,SSZLCSE,01/04/14,Other Dals
8115812,7611899,SSCZOHR,21/03/14,Honey
8096811,15668380,SSLZLCS,13/03/14,Other Vegetables
7618192,15668416,SWLLREW,08/05/13,Banana
8254821,7580802,SWNHEEW,28/01/14,Sunflower Oils
8079383,93141022,SWNEHEC,03/04/14,Yogurt & Lassi
7710637,15669772,SWCSHZW,26/01/13,Other Dals
8075370,15669765,SWEWWZL,02/04/14,Urad Dal
7710637,15669778,SWCSHZW,26/01/13,Other Dals
8141684,34986134,SSNCONE,04/03/14,Whole Spices
7486173,7586553,SSZLZRN,03/08/13,Snacky Nuts
7345164,7625765,SWCENNH,16/10/13,Sunflower Oils
8099849,34986125,SSCEWZO,14/03/14,Whole Spices
8089178,34986123,SWCNZWC,06/04/14,Whole Spices
8096811,15668462,SSLZLCS,13/03/14,Gourd & Cucumber
8142419,15669873,SSNRHCO,04/03/14,Whole Spices
7618684,15669824,SWOCCHL,10/05/13,Raw Rice
8209386,15668416,SSCRSZS,05/02/14,Banana
7592127,93141023,SWEENCL,08/06/13,Yogurt & Lassi
8283042,15668449,SWRHLLZ,08/01/14,Exotic Vegetables
8353022,93141022,SSZWROC,06/12/13,Yogurt & Lassi
8080319,15669880,SSNSECH,03/04/14,Sooji & Rava
7749985,15668460,SWLRHSR,26/12/12,Gourd & Cucumber
8099163,15668460,SSRCCNE,14/03/14,Gourd & Cucumber
7362980,15668449,SWEOLLO,26/10/13,Exotic Vegetables
7602550,15668519,SWOSEOE,28/04/13,Bread
8268678,34992815,SSWNEHR,01/01/14,Cookies
8228587,15668478,SSNCZRL,13/01/14,Banana
8141498,15668542,SWLRHRL,04/03/14,Buns & Pavs
7559542,15668460,SWHEWCO,29/06/13,Gourd & Cucumber
8131815,15668465,SSSWORL,01/03/14,Root Vegetables
8108886,15669867,SWLHONH,18/03/14,Other Dals
7526450,15668478,SWNLZNW,20/07/13,Banana
8149245,15669875,SSWELWZ,07/03/14,Toor Dal
7719372,15669969,SWLNNNE,06/02/13,Cashews
7686461,7587658,SWLOHSN,13/03/13,"Organic Salt,Sugar & Jaggery"
8124751,7653522,SSNLSZE,25/03/14,Namkeen
8277630,15668380,SWNHZNC,05/01/14,Other Vegetables
7771245,15668689,SWNEWHL,14/10/12,Root Vegetables
7544462,15669764,SWCRRCE,19/06/13,Besan
8249884,7580089,SWLOHSW,25/01/14,Ice Creams & Desserts
8091771,15669818,SSCRENS,07/04/14,Whole Spices
8353022,15668688,SSZWROC,06/12/13,Root Vegetables
8352895,34987566,SSRSRSO,06/12/13,Whole Spices
7808939,7580811,SWNHESZ,07/08/12,Sunflower Oils
7525683,15668474,SWOCNOH,19/07/13,Beans
7480050,15669789,SWLSLOE,31/07/13,Boiled Rice
8200309,15670010,SWOORON,02/02/14,Almonds
8273657,15669761,SWNRZEW,03/01/14,Whole Spices
8209695,15670267,SWOESOR,06/02/14,Toor Dal
7762269,15670157,SWLLWNL,10/01/13,Organic F&V
7516989,15668379,SWRHHWL,13/07/13,Other Vegetables
8113176,15668379,SSWSCEN,21/03/14,Other Vegetables
7618684,7587694,SWOCCHL,10/05/13,Organic Masalas & Spices
8109885,15669881,SWCHLSS,18/03/14,Sooji & Rava
8336250,34987566,SSOCCZS,28/11/13,Whole Spices
7611197,7587651,SWOLLLE,05/05/13,Organic Rice & Rice Products
8075791,15669887,SWEHZZZ,02/04/14,Maida
7801245,15669864,SWLOCLW,16/07/12,Other Dals
8232216,15669875,SSSLEZO,16/01/14,Toor Dal
8274447,15669817,SWNNSSH,04/01/14,Whole Spices
7410387,15668462,SWOWNNR,06/09/13,Gourd & Cucumber
7808939,15669860,SWNHESZ,07/08/12,Moong Dal
8228490,15669860,SWOWELS,13/01/14,Moong Dal
7749985,15668467,SWLRHSR,26/12/12,Beans
7756215,15668467,SWNNZOR,04/01/13,Beans
7402891,7735760,SWOLLEN,10/10/13,Namkeen
7482551,7578347,SWHWNWL,02/08/13,Chilli & Soya Sauces
8249884,15669886,SWLOHSW,25/01/14,Sooji & Rava
8152823,15669775,SWEONLR,09/03/14,Sooji & Rava
8083357,21409124,SSSHLNW,04/04/14,Sugar Cubes
8152823,7598777,SWEONLR,09/03/14,Agarbatti
8362837,15669773,SWLSCOZ,06/11/13,Urad Dal
8120485,15669860,SWHSWOW,24/03/14,Moong Dal
7820348,15668467,SWLONLL,09/09/12,Beans
8205042,15668688,SSSNESR,04/02/14,Root Vegetables
7809643,15669879,SWLHWZE,08/08/12,Other Dals
8283998,15669783,SSLRELN,09/01/14,Sooji & Rava
8074318,15668458,SSHCNOH,02/04/14,Brinjals
7489019,34987570,SWESSEO,06/08/13,Whole Spices
8089497,15669817,SWHOECO,06/04/14,Whole Spices
8101260,15668381,SSNORLN,15/03/14,Other Vegetables
8071210,15669860,SWNORRH,31/03/14,Moong Dal
8119388,15668381,SWLSCLN,23/03/14,Other Vegetables
8330753,15669866,SWLLWOS,25/11/13,Other Dals
8249884,15669760,SWLOHSW,25/01/14,Whole Spices
7348817,7580855,SSSELNE,17/10/13,Other Oils
7607068,15669857,SWOSCER,29/04/13,Raw Peanuts
7699855,15668688,SWOHOZR,27/03/13,Root Vegetables
8336683,15669780,SWNCNOL,29/11/13,Sugar
7435518,15668688,SSLSZZE,22/09/13,Root Vegetables
7753069,7587491,SWLEOSS,31/12/12,Organic Flours
7728660,15670182,SWOZOSC,16/02/13,Organic F&V
7757462,15668451,SWRLWHS,04/01/13,Brinjals
8106023,7587494,SSLOEEO,17/03/14,Organic Masalas & Spices
8107580,15669976,SSZNNNN,17/03/14,Almonds
8275225,15669817,SWHECOO,05/01/14,Whole Spices
8157592,15669861,SSZRWON,11/03/14,Raw Peanuts
7813835,15669859,SWNLOLC,23/08/12,Toor Dal
7497374,15670269,SSWWZLW,10/08/13,Other Dals
8276533,7587674,SWHELSW,05/01/14,Organic Masalas & Spices
8158290,15669884,SSWNZEC,11/03/14,Whole Spices
8131815,15669856,SSSWORL,01/03/14,Sugar
8085797,15668468,SWRCLON,07/04/14,Beans
8150141,92435927,SWHHSNW,08/03/14,Basmati Rice
8073939,7577678,SSOSOEC,31/03/14,Cream Biscuits
7397712,15668453,SSSZHZE,07/10/13,Brinjals
8141158,15669772,SWOCCOL,04/03/14,Other Dals
8128430,7757971,SWCEHCR,27/02/14,Ghee
8189678,7623116,SWHRCNL,25/02/14,Liquid Soaps & Bars
