,0
0,"Whole Spices,Brinjals,Moong Dal,Moong Dal,Gourd & Cucumber,Whole Spices,Whole Spices,Moong Dal"
1,"Gourd & Cucumber,Boiled Rice,Other Dals,Beans,Root Vegetables,Other Oils,Other Vegetables"
2,"Cooking Sauce,Sunflower Oils,Toor Dal,Brinjals,Ground Coffee,Beans,Other Vegetables,Beans,Root Vegetables,Raw Rice"
3,"Whole Spices,Other Vegetables,Avalakki / Poha,Urad Dal,Whole Spices,Moong Dal,Toor Dal,Raisins,Maida,Cashews,Other Vegetables,Raw Peanuts,Root Vegetables,Ghee,Other Dals,Whole Spices"
4,"Other Oils,Whole Spices,Raw Rice,Toor Dal,Other Dals,Banana,Glucose, Marie & Milk Biscuits"
5,"Urad Dal,Other Vegetables,Brinjals,Sugar,Body Wash,Moong Dal,Chilli & Soya Sauces,Gourd & Cucumber,Other Dals"
6,"Beans,Exotic Vegetables,Almonds,Namkeen,Other Vegetables,Honey,Health Drinks"
7,"Toor Dal,Other Dals,Other Dry Fruits,Beans,Root Vegetables,Other Vegetables,Raisins,Other Dals,Boiled Rice,Brinjals"
8,"Cotton & Bandages,Avalakki / Poha,Toor Dal,Sooji & Rava,Jaggery,Phenyles & Acids,Toilet Cleaners,Moong Dal"
9,"Other Dals,Other Dals,Root Vegetables,Other Dals,Other Vegetables,Other Dals,Root Vegetables"
10,"Organic F&V,Organic F&V,Ice Creams & Desserts,Banana,Toothpaste,Organic F&V"
11,"Moong Dal,Root Vegetables,Powdered Spices,Urad Dal,Other Dals,Toor Dal,Other Vegetables"
12,"Other Dals,Other Dry Fruits,Moong Dal,Other Dals,Other Dals,Other Vegetables,Other Dry Fruits,Urad Dal,Other Dals,Almonds,Whole Spices,Gourd & Cucumber,Other Dals,Root Vegetables,Whole Spices"
13,"Other Vegetables,Ghee,Sunflower Oils,Other Vegetables,Beans,Toor Dal,Brinjals,Raw Rice,Besan,Sugar"
14,"Brinjals,Other Vegetables,Beans,Cooking Paste,Liquid Soaps & Bars,Root Vegetables,Gourd & Cucumber,Other Vegetables,Sugar"
15,"Whole Spices,Other Dals,Moong Dal,Namkeen,Urad Dal,Other Dals"
16,"Whole Spices,Other Vegetables,Whole Spices,Whole Spices,Brinjals,Whole Spices,Honey,Urad Dal,Urad Dal,Whole Spices"
17,"Other Dals,Sunflower Oils,Raw Rice,Boiled Rice,Whole Spices,Urad Dal,Moong Dal,Other Dals,Cashews"
18,"Maida,Other Flours,Other Dry Fruits,Beans,Other Vegetables,Besan,Root Vegetables,Avalakki / Poha,Phenyles & Acids,Other Vegetables,Gourd & Cucumber,Raw Peanuts"
19,"Gourd & Cucumber,Bread,Namkeen,Besan,Other Vegetables,Sugar,Urad Dal"
20,"Rice Flour,Sooji & Rava,Other Dals,Sooji & Rava,Ghee,Namkeen,Sooji & Rava,Aluminium Foil & Cling Wrap,Besan,Urad Dal,Sunflower Oils"
21,"Brinjals,Besan,Other Dals,Curd,Moong Dal,Whole Spices,Avalakki / Poha"
